col	Gene Symbol	Gene Size	Phenotypes	Inheritance Pattern	Chromosome
379	RPGR	2448/3459	Macular degeneration	X-linked	X
380	TIMM8A	294	Optic atrophy	X-linked	X
381	OFD1	3039	Retinitis pigmentosa	X-linked	X
382	RP2	1053	Retinitis pigmentosa	X-linked	X
383	RPGR	2448/3459	Retinitis pigmentosa	X-linked	X
384	OFD1	3039	Syndromic/systemic diseases with retinopathy	X-linked	X
385	TIMM8A	294	Syndromic/systemic diseases with retinopathy	X-linked	X
386	CACNA1F	5934/5901	Other retinopathy	X-linked	X
387	CHM	1962/333	Other retinopathy	X-linked	X
388	DMD	11058/11046….	Other retinopathy	X-linked	X
389	NDP	402	Other retinopathy	X-linked	X
390	OPN1LW	1095	Other retinopathy	X-linked	X
391	OPN1MW	1095	Other retinopathy	X-linked	X
392	PGK1	1254	Other retinopathy	X-linked	X
393	RS1	675	Other retinopathy	X-linked	X
394	LHON	957	Other retinopathy	Mitochondrial	M
395	MT-ATP6	681	Other retinopathy	Mitochondrial	M
396	MT-TH		Other retinopathy	Mitochondrial	M
397	MT-TL1		Other retinopathy	Mitochondrial	M
398	MT-TP		Other retinopathy	Mitochondrial	M
399	MT-TS2		Other retinopathy	Mitochondrial	M
400	KSS		Other retinopathy	Mitochondrial	
